tokens_low,tokens_high,agebs,median_population,municipalities,spearman_within
1,3,567,211.0,15,0.23737022882785086
4,9,849,1948.0,16,0.3421627874743166
10,19,999,2644.0,20,0.3375557867816796
20,49,464,3230.5,14,0.5050577214170813
50,10000,79,3560.0,2,0.2917019157853612
