country,municipality,lon,lat,tokens,score,split
brazil,1508001,-48.154195353692536,-2.414297226750075,146,1.9601029,
brazil,1508084,-51.14762904520758,-6.755709220146608,517,2.2882373,
brazil,1508100,-49.676556405121815,-3.783564412313771,802,1.8807105,
brazil,1508126,-47.501183271929015,-3.7475512328913467,289,1.8586024,
brazil,1508159,-53.73428671966785,-3.7195121782967218,349,2.3979824,
brazil,1508209,-48.12964792182047,-0.8593893277040078,187,1.9128972,
brazil,1508308,-46.14019783781741,-1.1979071694412082,98,2.2138085,
brazil,1508407,-49.943432240837154,-7.103524077392815,551,1.8720512,
brazil,1600279,-52.51756286184507,-0.837783305071299,269,2.1424332,
brazil,1600600,-51.17262960403184,-0.036145038464732104,685,1.7923853,
brazil,1702109,-48.22550727991846,-7.204627490077681,1820,1.5621955,
brazil,1702208,-48.11111586319273,-5.649195979430539,315,1.7250893,
brazil,1705508,-48.478203251369465,-8.05695086690731,498,1.6010717,
brazil,1709302,-48.51001298202841,-8.84084394192674,377,1.6029356,
brazil,1709500,-49.08052096389362,-11.732679672037362,1193,1.6273329,
brazil,1718204,-48.40098800889999,-10.69990954762088,945,1.6668121,
brazil,1721000,-48.32214596011318,-10.247296879446484,4419,1.6252168,
brazil,2100055,-47.46824104193032,-4.936694270553934,1122,1.6951265,
brazil,2101202,-44.789158360847296,-4.22841399282217,673,1.6831434,
brazil,2101400,-46.049820114169066,-7.527083141330463,1021,1.7770778,
brazil,2101608,-45.24642853037903,-5.50466607436195,697,1.56061,
brazil,2101707,-42.82125529921899,-2.7580546818195963,543,1.657565,
brazil,2102325,-46.4478302333625,-4.325958389454847,328,2.151569,
brazil,2103000,-43.35456651565152,-4.8686204767149714,1165,1.4027828,
brazil,2103208,-43.35387987138708,-3.735079446510122,616,1.9184471,
brazil,2103307,-43.88841930682126,-4.460163600206804,670,1.693625,
brazil,2103406,-43.01620387722705,-4.255709705827263,273,1.9630328,
brazil,2103505,-44.243195308104816,-6.030426950552218,286,1.8785778,
brazil,2103604,-44.12889588246678,-4.127429138569847,403,1.7828889,
brazil,2103703,-44.870823084571086,-1.8298921391007286,163,2.044544,
brazil,2103752,-47.42599318043986,-5.574840914051923,89,1.860837,
brazil,2104057,-47.438241860891885,-6.560264682920496,374,1.5603955,
brazil,2104800,-46.14194698708583,-5.814024678943112,677,1.7313286,
brazil,2105302,-47.46536996442875,-5.514170863099667,2361,1.5035081,
brazil,2105401,-44.350701248096755,-3.395705659673475,386,1.6017684,
brazil,2105500,-47.40874478960008,-5.450441943548257,90,1.4236491,
brazil,2105708,-45.13115051157724,-4.564393841419271,274,1.8557137,
brazil,2107506,-44.15534534180499,-2.519701228027412,1939,1.8386337,
brazil,2108207,-44.59733499911147,-4.576210042850697,265,1.7035604,
brazil,2108504,-45.354210061451504,-3.623256907907258,209,1.9259989,
brazil,2108603,-45.09983328822969,-2.530039551540706,398,1.954012,
brazil,2109106,-44.490440831595464,-5.29602432334247,384,1.851164,
brazil,2109452,-44.134628754230654,-2.4534774111231266,408,2.25282,
brazil,2109601,-44.244823503092334,-2.9411868558558076,244,2.0215185,
brazil,2109809,-45.3002821829223,-2.2354761166754327,119,1.7419299,
brazil,2109908,-45.37600911473952,-3.6639747379719236,693,1.6338418,
brazil,2110005,-45.665069191505175,-3.9652478994262044,266,1.8640232,
brazil,2110500,-44.83769870819731,-2.7018391774008403,180,2.142626,
brazil,2111102,-43.70387606602429,-6.493949262805004,267,1.8821934,
brazil,2111201,-44.151232571796754,-2.533163920041765,2563,1.6504396,
brazil,2111300,-44.262851609189205,-2.56951753988088,5993,1.433513,
brazil,2111508,-44.46680170930856,-4.028916515637635,286,1.4994787,
brazil,2112209,-42.84478130885274,-5.108820546838391,1211,1.5715309,
brazil,2112233,-44.615518127712626,-4.565395438569454,129,1.4325627,
brazil,2112506,-42.298828596227956,-2.784087567754473,344,2.1420527,
brazil,2112704,-43.918066270490876,-3.5459157357000644,283,2.0604486,
brazil,2112803,-45.002218178161165,-3.202942308083102,242,1.7689196,
brazil,2114007,-45.653450598389504,-3.274415970908233,298,1.6667161,
brazil,2200400,-42.45803523783112,-5.038235101661958,454,2.0070968,
brazil,2201200,-42.29199771732358,-4.236752485902974,252,1.68132,
brazil,2201507,-42.227936118284,-3.913333659549872,27,1.7255591,
brazil,2201903,-44.35561272579401,-9.070066353180945,372,1.8103638,
brazil,2202208,-42.17220266608408,-4.83363860863286,414,1.7922562,
brazil,2203701,-42.23816964684061,-3.892345038108013,294,2.0332804,
brazil,2203909,-43.02158639579036,-6.780209333000407,723,1.4709599,
brazil,2205508,-42.574130328160514,-4.758362474373061,378,1.8574506,
brazil,2205706,-41.66247690807464,-2.8883843230201234,108,1.6245111,
brazil,2207009,-42.12575205541846,-7.0130159602978726,382,1.8342154,
brazil,2207702,-41.74940109542127,-2.9197664250896547,1583,1.5709854,
brazil,2207900,-41.45213435169421,-4.432794301221228,284,1.9171293,
brazil,2208007,-41.45291046450557,-7.07961968937868,957,1.8395172,
brazil,2208304,-41.709811658229285,-3.927882289171356,338,1.9226352,
brazil,2208403,-41.774375047637854,-4.273926315368612,586,1.8303435,
brazil,2210607,-42.69260814357339,-9.012812851255369,411,1.7332771,
brazil,2210938,-41.40587815203628,-7.030890071450425,22,2.3940055,
brazil,2211001,-42.77313460528722,-5.089752284601326,6746,1.2737017,
brazil,2211100,-42.856389052404495,-4.586869702717421,261,1.5771407,
