country,method,seed,municipality,rho
brazil,zero-shot,0,1718204,0.02243432355166999
brazil,zero-shot,0,1721000,0.2256269732242689
brazil,zero-shot,0,2100055,0.11150743354585174
brazil,zero-shot,0,2101202,0.3017873587183402
brazil,zero-shot,0,2101400,0.055613644814778145
brazil,zero-shot,0,2101608,0.2285512993132436
brazil,zero-shot,0,2101707,0.15374843332763266
brazil,zero-shot,0,2102325,-0.19808975748533206
brazil,zero-shot,0,2103000,0.17072517359400954
brazil,zero-shot,0,2103208,-0.22715167422950894
brazil,zero-shot,0,2103307,0.10846709090621186
brazil,zero-shot,0,2103406,0.0858792383573706
brazil,zero-shot,0,2103505,0.05644535194498042
brazil,zero-shot,0,2103604,0.31311475161888636
brazil,zero-shot,0,2103703,0.03764860669484258
brazil,zero-shot,0,2103752,-0.15297041536326914
brazil,zero-shot,0,2104057,-0.09189811357418913
brazil,zero-shot,0,2104800,0.054393305138678495
brazil,zero-shot,0,2105302,0.05128521048115855
brazil,zero-shot,0,2105401,-0.08561264906525651
brazil,zero-shot,0,2105500,0.1855632033619237
brazil,zero-shot,0,2105708,0.3461442371917275
brazil,zero-shot,0,2107506,0.26346122110725445
brazil,zero-shot,0,2108207,0.22305914165315138
brazil,zero-shot,0,2108504,-0.3559024102779094
brazil,zero-shot,0,2108603,0.2614398724246628
brazil,zero-shot,0,2109106,0.2488934258351506
brazil,zero-shot,0,2109452,-0.054849057193498744
brazil,zero-shot,0,2109601,0.007966431366640785
brazil,zero-shot,0,2109809,-0.06606013313044008
brazil,zero-shot,0,2109908,0.12855882594950266
brazil,zero-shot,0,2110005,0.35169965724571484
brazil,zero-shot,0,2110500,0.17316351181038822
brazil,zero-shot,0,2111102,-0.034892465108501775
brazil,zero-shot,0,2111201,0.14055813224147898
brazil,zero-shot,0,2111300,0.15128465049224793
brazil,zero-shot,0,2111508,0.030730752187586013
brazil,zero-shot,0,2112209,0.1049054878945054
brazil,zero-shot,0,2112233,-0.1896739060956026
brazil,zero-shot,0,2112506,0.08799833646468744
brazil,zero-shot,0,2112704,-0.26162320066271283
brazil,zero-shot,0,2112803,0.3092424685617615
brazil,zero-shot,0,2114007,-0.23950877542135932
brazil,zero-shot,0,2200400,-0.22951919453847794
brazil,zero-shot,0,2201200,-0.1892278281347527
brazil,zero-shot,0,2201903,-0.10469877751053984
brazil,zero-shot,0,2202208,0.22070221235486004
brazil,zero-shot,0,2203701,0.19446027385087036
brazil,zero-shot,0,2203909,-0.019862371474136355
brazil,zero-shot,0,2205508,-0.10519308270055802
brazil,zero-shot,0,2205706,-0.29756340380028606
brazil,zero-shot,0,2207009,0.10154577115580503
brazil,zero-shot,0,2207702,-0.031167925766618074
brazil,zero-shot,0,2207900,0.03483878011155635
brazil,zero-shot,0,2208007,0.263676574651918
brazil,zero-shot,0,2208304,0.002996909240880063
brazil,zero-shot,0,2208403,0.18701344591287436
brazil,zero-shot,0,2210607,0.02226648384787788
brazil,zero-shot,0,2211001,0.3629342119187186
brazil,zero-shot,0,2211100,0.2654310561603285
brazil,zero-shot,0,2211209,-0.37107373206082117
brazil,zero-shot,0,2300200,0.2570612065802028
brazil,zero-shot,0,2300309,0.07436377268855136
brazil,zero-shot,0,2301000,0.08511427048216089
brazil,zero-shot,0,2301109,-0.11318291684623498
brazil,zero-shot,0,2301901,0.3118870533818818
brazil,zero-shot,0,2302107,0.2797383885519431
brazil,zero-shot,0,2302206,0.006401045299672267
brazil,zero-shot,0,2302404,0.28713908743853034
brazil,zero-shot,0,2302503,-0.17323588167254572
brazil,zero-shot,0,2302602,0.14485717597303485
brazil,zero-shot,0,2302800,0.08084922661036169
brazil,zero-shot,0,2303501,-0.07770536723263223
brazil,zero-shot,0,2303709,0.06752233185972081
brazil,zero-shot,0,2304103,-0.08682411755697046
brazil,zero-shot,0,2304202,0.2500999177406211
brazil,zero-shot,0,2304285,0.12113450537176605
brazil,zero-shot,0,2304400,0.1879518540718967
brazil,zero-shot,0,2304707,0.5045818749374641
brazil,zero-shot,0,2305001,-0.04121653266489857
brazil,zero-shot,0,2305233,0.2650820991826383
brazil,zero-shot,0,2305407,-0.011773425358161336
brazil,zero-shot,0,2305506,0.029951314257096222
brazil,zero-shot,0,2305803,-0.027741323728891744
brazil,zero-shot,0,2306256,0.04471822251946504
brazil,zero-shot,0,2306306,-0.04280010918764012
brazil,zero-shot,0,2306405,0.1665815871669473
brazil,zero-shot,0,2306900,-0.030610061900930165
brazil,zero-shot,0,2307304,-0.021335458562032422
brazil,zero-shot,0,2307601,-0.10058876940708585
brazil,zero-shot,0,2307650,0.12654061077865822
brazil,zero-shot,0,2307700,-0.08826892139192843
brazil,zero-shot,0,2308005,-0.2238457940508842
brazil,zero-shot,0,2308104,0.2504522798600378
brazil,zero-shot,0,2308401,-0.2949406430848823
brazil,zero-shot,0,2308500,-0.18317379429536382
brazil,zero-shot,0,2308708,-0.12524560858715755
brazil,zero-shot,0,2309300,0.2636917565475512
brazil,zero-shot,0,2309607,0.11326789992379346
brazil,zero-shot,0,2309706,0.0865189437849418
brazil,zero-shot,0,2310209,0.15929483219817464
brazil,zero-shot,0,2310506,0.22181523772328507
brazil,zero-shot,0,2310704,-0.20204178874744808
brazil,zero-shot,0,2311306,0.15431740179686437
brazil,zero-shot,0,2311405,0.19044197241364613
brazil,zero-shot,0,2311801,0.08599454808561792
brazil,zero-shot,0,2312205,-0.01556929646596505
brazil,zero-shot,0,2312304,0.09542429339924119
brazil,zero-shot,0,2312403,-0.040963934871560984
brazil,zero-shot,0,2312908,-0.08533765790451463
brazil,zero-shot,0,2313104,0.08823634141412867
brazil,zero-shot,0,2313302,-0.041723361596997334
brazil,zero-shot,0,2313401,0.1605720105984781
brazil,zero-shot,0,2313500,0.06961750779812385
brazil,zero-shot,0,2314003,-0.22087818781512103
brazil,zero-shot,0,2400208,0.15959232598265363
brazil,zero-shot,0,2401008,-0.10270455379323831
brazil,zero-shot,0,2402006,0.2635604208500129
brazil,zero-shot,0,2402204,-0.19516948584940685
brazil,zero-shot,0,2402600,0.18704910357516316
brazil,zero-shot,0,2403103,0.1857675005094745
brazil,zero-shot,0,2403251,0.13763636135291324
brazil,zero-shot,0,2403608,0.10527453767325375
brazil,zero-shot,0,2404200,0.12430072976692114
brazil,zero-shot,0,2405801,0.3257340091613843
brazil,zero-shot,0,2407104,-0.1009936143646239
brazil,zero-shot,0,2407203,-0.08131843154026996
brazil,zero-shot,0,2408003,0.1229519610740831
brazil,zero-shot,0,2408102,0.5491033092067675
brazil,zero-shot,0,2408201,-0.22251109286799303
brazil,zero-shot,0,2408300,-0.30120938271191083
brazil,zero-shot,0,2409407,-0.12806037713153545
brazil,zero-shot,0,2411205,-0.12236843652912742
brazil,zero-shot,0,2412005,0.24329867665100885
brazil,zero-shot,0,2412203,0.28159583024955964
brazil,zero-shot,0,2500601,-0.04539206495016019
brazil,zero-shot,0,2501500,-0.27571326276245167
brazil,zero-shot,0,2501807,-0.0564254103665348
brazil,zero-shot,0,2503209,0.2993468116119739
brazil,zero-shot,0,2503704,-0.12799158173845052
brazil,zero-shot,0,2504009,0.2334475086014438
brazil,zero-shot,0,2504306,0.16702513408756753
brazil,zero-shot,0,2504603,-0.12859126202080515
brazil,zero-shot,0,2506004,0.025652617118205046
brazil,zero-shot,0,2506301,-0.20266480821469893
brazil,zero-shot,0,2507507,0.25558993282915055
brazil,zero-shot,0,2508307,0.057652120977610646
brazil,zero-shot,0,2508901,0.1255653517472826
brazil,zero-shot,0,2509701,0.07265691386912909
brazil,zero-shot,0,2510808,-0.02165259614518875
brazil,zero-shot,0,2512101,0.052846955375071454
brazil,zero-shot,0,2512507,0.2844888901550457
brazil,zero-shot,0,2513703,-0.00910318575492454
brazil,zero-shot,0,2513901,-0.011243296209809399
brazil,zero-shot,0,2515302,0.008971838097472304
brazil,zero-shot,0,2516003,0.07379160121509551
brazil,zero-shot,0,2516201,0.09267164461938905
brazil,zero-shot,0,2600054,0.16610413774980032
brazil,zero-shot,0,2600104,0.39209731325490377
brazil,zero-shot,0,2600500,-0.23656720119124652
brazil,zero-shot,0,2600708,0.15707373725451626
brazil,zero-shot,0,2601102,0.18739867908202615
brazil,zero-shot,0,2601201,0.055187349957821645
brazil,zero-shot,0,2601409,0.0712968326335094
brazil,zero-shot,0,2601706,0.07107389242524519
brazil,zero-shot,0,2601904,0.1443219036405621
brazil,zero-shot,0,2602100,0.030460634043348235
brazil,zero-shot,0,2602308,0.19664781375815135
brazil,zero-shot,0,2602605,-0.14492439285747694
brazil,zero-shot,0,2602803,0.22571890346435014
brazil,zero-shot,0,2602902,0.11720871412150063
brazil,zero-shot,0,2603009,0.12533994720129105
brazil,zero-shot,0,2603454,0.1840081239164161
brazil,zero-shot,0,2604007,-0.03609743730990867
brazil,zero-shot,0,2604106,0.11238400771954624
brazil,zero-shot,0,2604205,-0.015650712190084834
brazil,zero-shot,0,2604601,-0.007370261068388386
brazil,zero-shot,0,2605004,-0.23396758136292614
brazil,zero-shot,0,2605103,0.02739454497421947
brazil,zero-shot,0,2605202,0.1439672232862697
brazil,zero-shot,0,2605509,-0.3905393813731995
brazil,zero-shot,0,2605707,0.033124317979270276
brazil,zero-shot,0,2606002,0.2374064642025357
brazil,zero-shot,0,2606101,-0.1101463444797171
brazil,zero-shot,0,2606200,-0.19788320002733178
