country,method,seed,municipality,rho
brazil,zero-shot,0,1718204,-0.12534862283764958
brazil,zero-shot,0,1721000,0.1727555566162455
brazil,zero-shot,0,2100055,0.03810616628663146
brazil,zero-shot,0,2101202,0.07098981071757761
brazil,zero-shot,0,2101400,0.2330894752367686
brazil,zero-shot,0,2101608,0.29269693726004276
brazil,zero-shot,0,2101707,0.25145364949481464
brazil,zero-shot,0,2102325,-0.01668372280830411
brazil,zero-shot,0,2103000,0.20970725152275468
brazil,zero-shot,0,2103208,-0.13248828234222249
brazil,zero-shot,0,2103307,0.16984766508221005
brazil,zero-shot,0,2103406,0.15862631290014922
brazil,zero-shot,0,2103505,-0.13947067963604268
brazil,zero-shot,0,2103604,-0.10773022013108378
brazil,zero-shot,0,2103703,-0.23175142646790925
brazil,zero-shot,0,2103752,0.027093214737026305
brazil,zero-shot,0,2104057,-0.038820247476182325
brazil,zero-shot,0,2104800,0.08666323978624492
brazil,zero-shot,0,2105302,-0.02571612935699895
brazil,zero-shot,0,2105401,-0.05340167023543645
brazil,zero-shot,0,2105500,-0.1066290474097891
brazil,zero-shot,0,2105708,0.3215763117629665
brazil,zero-shot,0,2107506,0.004733619553570071
brazil,zero-shot,0,2108207,0.15220706852101468
brazil,zero-shot,0,2108504,-0.17413965662326217
brazil,zero-shot,0,2108603,0.14792197854903175
brazil,zero-shot,0,2109106,0.1292786127663968
brazil,zero-shot,0,2109452,-0.08280231783098002
brazil,zero-shot,0,2109601,0.1681201352431653
brazil,zero-shot,0,2109809,-0.24394417827086695
brazil,zero-shot,0,2109908,0.18480164980752573
brazil,zero-shot,0,2110005,0.505391641299315
brazil,zero-shot,0,2110500,0.009675678382361054
brazil,zero-shot,0,2111102,-0.11659866755424253
brazil,zero-shot,0,2111201,0.035512015419104495
brazil,zero-shot,0,2111300,0.13779012047451739
brazil,zero-shot,0,2111508,0.27873999128040367
brazil,zero-shot,0,2112209,0.21394445366750528
brazil,zero-shot,0,2112233,-0.10224456056736654
brazil,zero-shot,0,2112506,0.30295383269918125
brazil,zero-shot,0,2112704,0.056829390659919314
brazil,zero-shot,0,2112803,0.016407308501811477
brazil,zero-shot,0,2114007,0.1324694835331989
brazil,zero-shot,0,2200400,0.05539110960508757
brazil,zero-shot,0,2201200,0.2746286458763419
brazil,zero-shot,0,2201903,-0.023367206911183876
brazil,zero-shot,0,2202208,0.21869018219343558
brazil,zero-shot,0,2203701,0.07590086010258476
brazil,zero-shot,0,2203909,0.20298997166319077
brazil,zero-shot,0,2205508,0.14029432732391262
