fold,config,bag_mae,auroc_high,spearman_pooled,spearman_within,spearman_within_ageb,bags_scored,bags_scored_ageb,instances
0,base,0.09861733764410019,0.7771114297370088,0.4233919027188965,0.19193778543992407,0.23399074529010352,72,69,128122
0,lr 5e-5,0.10651861876249313,0.7869456653304211,0.42910280404357887,0.17803229512243324,0.21362806396321177,72,69,128122
0,lr 1e-4,0.10163509845733643,0.7851397486992739,0.42912749112176035,0.19159107931644737,0.23185933327768038,72,69,128122
0,lr 5e-4,0.09543529152870178,0.7691370905205753,0.4162818429310612,0.18624100071419125,0.23484993092662212,72,69,128122
0,lr 1e-3,0.0956537202000618,0.762598674216327,0.406717229814423,0.179186788068584,0.22600123425362054,72,69,128122
0,bce,0.0955805629491806,0.7912015555541105,0.4311698613960421,0.19547751407954092,0.24443909210848866,72,69,128122
0,hidden 64,0.10139428824186325,0.7886020919858008,0.43158680559622076,0.1906195929289742,0.23485591671745348,72,69,128122
0,hidden 128,0.09944412112236023,0.7821377620327249,0.428535780485783,0.19478860986344124,0.23667587602383755,72,69,128122
0,hidden 512,0.09761667996644974,0.7736693088904905,0.4196879762402594,0.18917837508201055,0.2370207574524137,72,69,128122
0,dropout 0.0,0.09882273524999619,0.7764560676283178,0.42275523111833735,0.19124624399614465,0.23273813569845,72,69,128122
0,dropout 0.5,0.09812815487384796,0.7824320477151667,0.4307718497487021,0.19731707940913334,0.24411011772566857,72,69,128122
0,standardize,0.0936737209558487,0.7926231620129796,0.4409937572918539,0.2047932248688817,0.2558076955396436,72,69,128122
0,decay 1e-3,0.0986073836684227,0.7770728998847404,0.4233421676901625,0.1917576536597728,0.2338242312525694,72,69,128122
0,decay 1e-5,0.09861733764410019,0.7771114297370088,0.4233919027188965,0.19193778543992407,0.23399074529010352,72,69,128122
1,base,0.12238630652427673,0.7467765949854815,0.4319993938599166,0.21432307654965865,0.2985683301067389,49,42,58125
1,lr 5e-5,0.13220946490764618,0.7568640410118077,0.44963889272774016,0.1932284087574734,0.26272877966693703,49,42,58125
1,lr 1e-4,0.1256808191537857,0.7545688031348107,0.44463925607333055,0.21259448097143607,0.29530409402691954,49,42,58125
1,lr 5e-4,0.12250597029924393,0.7373777243815329,0.4153320875774694,0.20833515575429695,0.28763306586820586,49,42,58125
1,lr 1e-3,0.12437915802001953,0.7330088302403158,0.41152531207704107,0.16632457827753563,0.20990334131769797,49,42,58125
1,bce,0.12076517194509506,0.7512652836748255,0.4396281771625279,0.21248941700777166,0.3014511652909607,49,42,58125
1,hidden 64,0.12368310242891312,0.7570363403639602,0.4475928334305949,0.2149503402278572,0.2985118005472982,49,42,58125
1,hidden 128,0.12368859350681305,0.7505309195902747,0.438599832469285,0.21504625166876856,0.29933497038153484,49,42,58125
1,hidden 512,0.12264189124107361,0.7383038906875566,0.41990065118466297,0.209469995307674,0.2841166027224132,49,42,58125
1,dropout 0.0,0.12298549711704254,0.7460526226540481,0.4309463303375068,0.21304260568805586,0.2978192621848746,49,42,58125
1,dropout 0.5,0.1217094212770462,0.7472247485047777,0.43253015270699224,0.21512114144258854,0.300423315979053,49,42,58125
1,standardize,0.11459490656852722,0.7574330353255443,0.4487641904431845,0.2029918392005942,0.22108481208096606,49,42,58125
1,decay 1e-3,0.12239832431077957,0.7468068719657711,0.43213820878928133,0.21413794219446036,0.299683983313139,49,42,58125
1,decay 1e-5,0.12238630652427673,0.7467765949854815,0.4319993938599166,0.21432307654965865,0.2985683301067389,49,42,58125
2,base,0.12821350991725922,0.7614815376279896,0.38485483567155115,0.2708831656725547,0.3610916839142483,42,41,64301
2,lr 5e-5,0.1373240202665329,0.7304477790759114,0.3556642356732472,0.2404878036119829,0.283117714665899,42,41,64301
2,lr 1e-4,0.1332486867904663,0.7634284319801772,0.3862228796541115,0.2687787978479237,0.3435045991422762,42,41,64301
2,lr 5e-4,0.12357015162706375,0.7544225630966881,0.3715260777564042,0.25706736336054514,0.31229839173755447,42,41,64301
2,lr 1e-3,0.12147507816553116,0.7468026555289787,0.3610418686211229,0.24919527676795447,0.3197676904337847,42,41,64301
2,bce,0.12714214622974396,0.7475071621620183,0.3732002112262032,0.25673823380237504,0.2916640434942893,42,41,64301
2,hidden 64,0.1306859701871872,0.7490088885328957,0.3738275290108997,0.2544334325875702,0.3033086054920566,42,41,64301
2,hidden 128,0.12876631319522858,0.764266520673302,0.38902185156146957,0.2706180398920824,0.3492175248220372,42,41,64301
2,hidden 512,0.12601260840892792,0.7530529882152556,0.37141145420533583,0.2568855133185449,0.3160708850703022,42,41,64301
2,dropout 0.0,0.12845143675804138,0.7613496938122933,0.38484044898586894,0.2704972537251918,0.360477381167749,42,41,64301
