city,coverage,rule,half_width_grades
carmen,0.8703703703703703,marginal,1.264437689969605
escarcega,0.8,marginal,1.264437689969605
garcia,0.8703703703703703,marginal,1.264437689969605
guerrero,0.6363636363636364,marginal,1.264437689969605
hidalgo,0.7746478873239436,marginal,1.264437689969605
igualadelaindependencia,0.8120300751879699,marginal,1.264437689969605
irapuato,0.9018691588785047,marginal,1.264437689969605
ixtapaluca,0.9460043196544277,marginal,1.264437689969605
lapaz,0.7536231884057971,marginal,1.264437689969605
madera,0.8478260869565217,marginal,1.264437689969605
nogales,0.847953216374269,marginal,1.264437689969605
queretaro,0.8949416342412452,marginal,1.264437689969605
victoria,0.8666666666666667,marginal,1.264437689969605
zapopan,0.9462686567164179,marginal,1.264437689969605
carmen,0.9629629629629629,clustered,1.8064701795951803
escarcega,0.92,clustered,1.8064701795951803
garcia,0.9938271604938271,clustered,1.8064701795951803
guerrero,1.0,clustered,1.8064701795951803
hidalgo,0.9154929577464789,clustered,1.8064701795951803
igualadelaindependencia,0.9548872180451128,clustered,1.8064701795951803
irapuato,0.9532710280373832,clustered,1.8064701795951803
ixtapaluca,0.9913606911447084,clustered,1.8064701795951803
lapaz,0.8985507246376812,clustered,1.8064701795951803
madera,0.9347826086956522,clustered,1.8064701795951803
nogales,0.9590643274853801,clustered,1.8064701795951803
queretaro,0.9844357976653697,clustered,1.8064701795951803
victoria,0.9818181818181818,clustered,1.8064701795951803
zapopan,0.9940298507462687,clustered,1.8064701795951803
