split,discarded,municipalities,rho_within,ci_low,ci_high
val,0.0,19,0.3933118918093957,0.2994522995788733,0.5074797652792441
val,0.1,19,0.37711366650820666,0.27337618891074517,0.49933268141850173
val,0.2,19,0.36577267092363625,0.2453489099562321,0.5053759036248785
val,0.3,19,0.3607347489964196,0.23017675537719134,0.5125051365246724
val,0.4,19,0.37063222912714533,0.23127558550535854,0.5338155616637706
val,0.5,19,0.3860968417523397,0.25470132143102586,0.541359595023457
test,0.0,17,0.3428233219425896,0.21268326539794252,0.4451157196082857
test,0.1,17,0.3456104464101001,0.2068823909630081,0.4459652546378525
test,0.2,17,0.34743541046188,0.21473597948247491,0.44278392988315135
test,0.3,17,0.34794063319436175,0.21166128561550354,0.4482505272159668
test,0.4,17,0.35143371453268385,0.18310573031597047,0.46754540525570015
test,0.5,17,0.3452524456572294,0.15225280852222334,0.4767029624991416
