country,method,seed,bags,within,within_ci_low,within_ci_high,municipalities_scored,pooled,auroc_top_quartile,tokens_scored
colombia,zero-shot,0,573,0.4585906123139511,0.4585906123139511,0.4585906123139511,1,0.4585906123139511,0.7534083731497858,12687
colombia,aggregates,0,573,0.21240132843613374,0.21240132843613374,0.21240132843613374,1,0.21240132843613374,0.6481672467456592,12687
colombia,aggregates,1,573,0.27807477665116354,0.27807477665116354,0.27807477665116354,1,0.27807477665116354,0.6806673916541407,12687
colombia,aggregates,2,573,0.29657745305240507,0.29657745305240507,0.29657745305240507,1,0.29657745305240507,0.7007498483762474,12687
colombia,aggregates@50,0,573,0.08941957497500919,0.08941957497500919,0.08941957497500919,1,0.08941957497500919,0.5760059777170288,12687
colombia,aggregates@50,1,573,0.10214379258310895,0.10214379258310895,0.10214379258310895,1,0.10214379258310895,0.5756464554547662,12687
colombia,aggregates@50,2,573,0.1672094084733522,0.1672094084733522,0.1672094084733522,1,0.1672094084733522,0.6186277771573025,12687
colombia,aggregates@100,0,573,0.17704239705056066,0.17704239705056066,0.17704239705056066,1,0.17704239705056066,0.6200090154805193,12687
colombia,aggregates@100,1,573,0.21071883843702555,0.21071883843702555,0.21071883843702555,1,0.21071883843702555,0.6428975392052712,12687
colombia,aggregates@100,2,573,0.20227119102772073,0.20227119102772073,0.20227119102772073,1,0.20227119102772073,0.6428353345888402,12687
colombia,aggregates@200,0,573,0.19578398783943385,0.19578398783943385,0.19578398783943385,1,0.19578398783943385,0.6345260440204477,12687
colombia,aggregates@200,1,573,0.1118999372562663,0.1118999372562663,0.1118999372562663,1,0.1118999372562663,0.584793453184036,12687
colombia,aggregates@200,2,573,0.25308145903243845,0.25308145903243845,0.25308145903243845,1,0.25308145903243845,0.6667182420430845,12687
colombia,aggregates@400,0,573,0.17177491710221446,0.17177491710221446,0.17177491710221446,1,0.17177491710221446,0.6237320376970448,12687
colombia,aggregates@400,1,573,0.19666663020967007,0.19666663020967007,0.19666663020967007,1,0.19666663020967007,0.6306617916678382,12687
colombia,aggregates@400,2,573,0.300805499020699,0.300805499020699,0.300805499020699,1,0.300805499020699,0.7035054264888306,12687
colombia,mexico-init,0,573,0.41162433570576795,0.41162433570576795,0.41162433570576795,1,0.41162433570576795,0.7497952824081733,12687
colombia,mexico-init,1,573,0.4132607440311263,0.4132607440311263,0.4132607440311263,1,0.4132607440311263,0.7480840663974588,12687
colombia,mexico-init,2,573,0.4144402792976192,0.4144402792976192,0.4144402792976192,1,0.4144402792976192,0.7599560897193728,12687
colombia,oracle,0,573,0.8084939777014905,0.8084939777014905,0.8084939777014905,1,0.8084939777014905,0.9293458053589277,12687
colombia,oracle,1,573,0.8046420565795562,0.8046420565795562,0.8046420565795562,1,0.8046420565795562,0.9297365870117702,12687
colombia,oracle,2,573,0.8042166536803435,0.8042166536803435,0.8042166536803435,1,0.8042166536803435,0.9274174098887851,12687
brazil,zero-shot,0,1351,0.08506385838644283,0.07500730967784389,0.09554711839017571,1347,0.2599616181163023,0.620419796601525,1187439
brazil,aggregates,0,1351,0.0607776315883112,0.054877843664551,0.06636365589048387,1347,0.2589084353580798,0.645841623586281,1187439
brazil,aggregates,1,1351,0.06265304132313473,0.05671301408094378,0.06834377006788842,1347,0.2580853685118502,0.644902128399192,1187439
brazil,aggregates,2,1351,0.06468742045786406,0.05863754508730554,0.07040980994806531,1347,0.2597121061206217,0.645651415873745,1187439
brazil,aggregates@50,0,1351,0.071225487015456,0.0645688343361656,0.07779895677101621,1347,0.25154787851358845,0.6430005634733008,1187439
brazil,aggregates@50,1,1351,0.09957695743955279,0.09084901276732286,0.10868368649668893,1347,0.30402339745384144,0.6704549042318005,1187439
brazil,aggregates@50,2,1351,0.02624291290262376,0.017170493424987773,0.03492837580666365,1347,0.278375891581725,0.6739882103114255,1187439
brazil,aggregates@100,0,1351,0.07668225835186449,0.06972287222875066,0.08342102219196201,1347,0.2887625374965456,0.669336428912305,1187439
brazil,aggregates@100,1,1351,0.06736763354882715,0.060062991711239945,0.07479784669528904,1347,0.26032424174062563,0.6569200134878125,1187439
brazil,aggregates@100,2,1351,0.050561202747274825,0.0429125211027478,0.05814496731771687,1347,0.2730289028885847,0.6635696371483584,1187439
brazil,aggregates@200,0,1351,0.06286126947173025,0.056336226021689216,0.06943167001722479,1347,0.2547036050253814,0.6476581066596502,1187439
brazil,aggregates@200,1,1351,0.05022922002907883,0.043480933010738174,0.05696293690459902,1347,0.2717109869212939,0.6608682756604602,1187439
brazil,aggregates@200,2,1351,0.05788564660808788,0.0513590315993878,0.06417376845315612,1347,0.27360601238925664,0.663756930674287,1187439
brazil,aggregates@400,0,1351,0.06105350231116873,0.05476446915967392,0.06735354317141057,1347,0.2491183258841971,0.6403463625424031,1187439
brazil,aggregates@400,1,1351,0.06611471785579119,0.05923130952021684,0.07250324711297261,1347,0.26103216001288365,0.6511065152073783,1187439
brazil,aggregates@400,2,1351,0.05221366356138713,0.045888016820385034,0.05819591319824053,1347,0.25147285564710375,0.645359673175607,1187439
brazil,mexico-init,0,1351,0.0660602207733827,0.05908121209566039,0.07341199138990129,1347,0.30806200780755344,0.6640362449261036,1187439
brazil,mexico-init,1,1351,0.0629191228118065,0.05613569458430424,0.06975684317489671,1347,0.29118693255788336,0.6584374481665252,1187439
brazil,mexico-init,2,1351,0.05959374825384614,0.05291783295197409,0.06631840968627714,1347,0.28775362133593624,0.6550196570707203,1187439
brazil,oracle,0,1351,0.2853500526765438,0.2742242671186341,0.296353064166561,1347,0.6109168716231856,0.8258483056808743,1187439
brazil,oracle,1,1351,0.2891729108925484,0.2776219530415114,0.30009000549326204,1347,0.622521853477628,0.8348437406469413,1187439
brazil,oracle,2,1351,0.29061594996459655,0.2795663302213152,0.3016821469755873,1347,0.6123797917632621,0.8269647679174721,1187439
