tokens_low,tokens_high,agebs,median_population,municipalities,spearman_within
1,3,567,211.0,15,0.22040134240574685
4,9,849,1948.0,16,0.3570463621226596
10,19,999,2644.0,20,0.30610475097329903
20,49,464,3230.5,14,0.48119971530173433
50,10000,79,3560.0,2,0.18674648614048311
