fold,config,bag_mae,auroc_high,spearman_pooled,spearman_within,spearman_within_ageb,bags_scored,bags_scored_ageb,instances
0,base,0.08621268719434738,0.8066827319888968,0.4746563854501688,0.23145495886615663,0.2973383417300015,72,69,128122
0,lr 5e-5,0.09117600321769714,0.8313586038170606,0.49966054887156924,0.24960024670566103,0.3087242868154218,72,69,128122
0,lr 1e-4,0.08814112097024918,0.8165744077405859,0.49016383491060744,0.24031226987270518,0.3129056646918751,72,69,128122
0,lr 5e-4,0.08533396571874619,0.8066410386246452,0.4633677434290714,0.23105566344299536,0.29642493852265717,72,69,128122
0,lr 1e-3,0.08463015407323837,0.8036844018235139,0.45193979682592883,0.2225948035620911,0.2937892731100869,72,69,128122
0,bce,0.08531899005174637,0.8195188115310592,0.48312234003180116,0.2386250496419102,0.30919545466716264,72,69,128122
0,hidden 64,0.08778329193592072,0.8166205945411278,0.4913950589315999,0.2414918655635811,0.30906942011944266,72,69,128122
0,hidden 128,0.08722003549337387,0.8215137525495962,0.48867239531822687,0.2399188554968867,0.2939903730132225,72,69,128122
0,hidden 512,0.08985673636198044,0.8061157228718339,0.46472547413191034,0.2187742749429906,0.28992482650713475,72,69,128122
0,dropout 0.0,0.08620449155569077,0.804338162013865,0.4728721258807065,0.23069345013143452,0.3035386121523141,72,69,128122
0,dropout 0.5,0.08596590161323547,0.8077661617051075,0.4782426478569289,0.2336831371209943,0.3019383088308743,72,69,128122
0,standardize,0.0830387994647026,0.7968622115364131,0.4623087611926889,0.22791370954839754,0.2985956747610108,72,69,128122
0,decay 1e-3,0.08628204464912415,0.806256157581172,0.4743253224776102,0.231976058598973,0.2992872960934864,72,69,128122
0,decay 1e-5,0.08621268719434738,0.8066827319888968,0.4746563854501688,0.23145495886615663,0.2973383417300015,72,69,128122
1,base,0.11048850417137146,0.7766608610253607,0.5029929497272244,0.2223141126409727,0.28994819060334404,49,42,58125
1,lr 5e-5,0.12216382473707199,0.7844521931561873,0.5108823010378845,0.22211175369907593,0.3047733053783438,49,42,58125
1,lr 1e-4,0.11666189879179001,0.7814719205952736,0.5093643742899127,0.22300237849751395,0.29779208261591517,49,42,58125
1,lr 5e-4,0.10683010518550873,0.76695838257391,0.48501841337802093,0.2101995791944688,0.28544414984473787,49,42,58125
1,lr 1e-3,0.1092715710401535,0.7500215115574863,0.4613623540126531,0.2003081256625961,0.30581681143298606,49,42,58125
1,bce,0.10733393579721451,0.7877978832826469,0.5140639102140736,0.22246076540705836,0.30455235093127186,49,42,58125
1,hidden 64,0.11437615752220154,0.7910913619206934,0.522318436305355,0.23301709538435242,0.3075972455976321,49,42,58125
1,hidden 128,0.11294381320476532,0.7823684567866882,0.5108750163576498,0.22502436942016715,0.2959562093023313,49,42,58125
1,hidden 512,0.10873749852180481,0.7748719775561177,0.5008939570398179,0.22025106490222776,0.2887465613147908,49,42,58125
1,dropout 0.0,0.11063726246356964,0.7758855244162332,0.5016128813238439,0.22075118830268795,0.29579088105790075,49,42,58125
1,dropout 0.5,0.10957499593496323,0.7783240286375556,0.5043393672269478,0.22172828113425305,0.29827838625572467,49,42,58125
1,standardize,0.10315985232591629,0.7623596835072166,0.49220846360970716,0.20483342777882332,0.2575978782227153,49,42,58125
1,decay 1e-3,0.1104922667145729,0.7765028699754151,0.5023327254501972,0.221609702713004,0.29720437929179716,49,42,58125
1,decay 1e-5,0.11048850417137146,0.7766608610253607,0.5029929497272244,0.2223141126409727,0.28994819060334404,49,42,58125
2,base,0.11317253112792969,0.7693594228963949,0.42731985285050894,0.24310203480751216,0.2983087401126785,42,41,64301
2,lr 5e-5,0.12323224544525146,0.7808046572678609,0.4169973132580544,0.252091903426625,0.28575265290159113,42,41,64301
2,lr 1e-4,0.11270704865455627,0.7713329647147305,0.44310286442256214,0.22634324437411305,0.28909133477222376,42,41,64301
2,lr 5e-4,0.11223291605710983,0.75576653929767,0.4025358262876799,0.22864207688486907,0.29465275519587086,42,41,64301
2,lr 1e-3,0.11592283099889755,0.7077905753188727,0.30789840926217416,0.17261958344698933,0.2199158648604406,42,41,64301
2,bce,0.1093352735042572,0.7759355360435103,0.431950507510471,0.2427276517402023,0.2895510943761331,42,41,64301
2,hidden 64,0.11879020929336548,0.7834811561215247,0.42671887146290194,0.25198974320542533,0.29391045139805044,42,41,64301
2,hidden 128,0.11141633987426758,0.7664766433920533,0.4345623710229421,0.21584225908164947,0.2872599846575466,42,41,64301
2,hidden 512,0.11174023896455765,0.7631124195994035,0.4192564824287903,0.24001158749410062,0.2900466431000072,42,41,64301
2,dropout 0.0,0.11373569816350937,0.7677042313301627,0.4253330197501257,0.24284338815382783,0.2953588626439692,42,41,64301
2,dropout 0.5,0.10971945524215698,0.7638157314701499,0.4279552535175713,0.2109163607552489,0.28202958428806457,42,41,64301
2,standardize,0.10674860328435898,0.7467614036658514,0.41620695342826525,0.16944001915913146,0.2757905156189257,42,41,64301
2,decay 1e-3,0.11270978301763535,0.7698149293893912,0.4274325883906263,0.2420738830088039,0.30473372986232383,42,41,64301
2,decay 1e-5,0.11317253112792969,0.7693594228963949,0.42731985285050894,0.24310203480751216,0.2983087401126785,42,41,64301
3,base,0.08466583490371704,0.8365867675953461,0.5181661343541704,0.21284167603288895,0.25608672145181244,63,61,90398
3,lr 5e-5,0.08379288017749786,0.8436846960999568,0.5380584035900516,0.2313087611474987,0.2755618560938215,63,61,90398
