city,coverage,rule,half_width_grades
carmen,0.8518518518518519,marginal,1.289855072463768
escarcega,0.9166666666666666,marginal,1.289855072463768
garcia,0.8641975308641975,marginal,1.289855072463768
guerrero,0.9523809523809523,marginal,1.289855072463768
hidalgo,0.8309859154929577,marginal,1.289855072463768
igualadelaindependencia,0.8721804511278195,marginal,1.289855072463768
irapuato,0.8364485981308412,marginal,1.289855072463768
ixtapaluca,0.9287257019438445,marginal,1.289855072463768
lapaz,0.7681159420289855,marginal,1.289855072463768
madera,0.782608695652174,marginal,1.289855072463768
nogales,0.8362573099415205,marginal,1.289855072463768
queretaro,0.8715953307392996,marginal,1.289855072463768
victoria,0.8727272727272727,marginal,1.289855072463768
zapopan,0.9223880597014925,marginal,1.289855072463768
carmen,0.9074074074074074,clustered,1.6803748457895844
escarcega,1.0,clustered,1.6803748457895844
garcia,0.9722222222222222,clustered,1.6803748457895844
guerrero,1.0,clustered,1.6803748457895844
hidalgo,0.9154929577464789,clustered,1.6803748457895844
igualadelaindependencia,0.9624060150375939,clustered,1.6803748457895844
irapuato,0.9345794392523364,clustered,1.6803748457895844
ixtapaluca,0.9762419006479481,clustered,1.6803748457895844
lapaz,0.9057971014492754,clustered,1.6803748457895844
madera,0.8695652173913043,clustered,1.6803748457895844
nogales,0.9122807017543859,clustered,1.6803748457895844
queretaro,0.9649805447470817,clustered,1.6803748457895844
victoria,0.9212121212121213,clustered,1.6803748457895844
zapopan,0.9850746268656716,clustered,1.6803748457895844
