fold,config,bag_mae,auroc_high,spearman_pooled,spearman_within,bags_scored,instances
0,base,0.0962519198656082,0.7663035868399318,0.4015205310660217,0.1536377285563476,72,128003
0,lr 5e-5,0.1065901070833206,0.7790879213989317,0.4069052026269957,0.1511756793306362,72,128003
0,lr 1e-4,0.1000069603323936,0.7765452330452485,0.4074221923055657,0.16030847427268,72,128003
0,lr 5e-4,0.096096359193325,0.767124592512505,0.3899252184953949,0.1451079913295744,72,128003
0,lr 1e-3,0.0940108150243759,0.7489750162630258,0.3608961598944417,0.1329287250481519,72,128003
0,bce,0.0950481072068214,0.7782564286530095,0.4074246974256861,0.1574001572680602,72,128003
0,hidden 64,0.0991932228207588,0.7807550471520678,0.4101790611777663,0.1607674800906832,72,128003
0,hidden 128,0.0976510345935821,0.7714516743078454,0.4040809621029028,0.1569840723403199,72,128003
0,hidden 512,0.0953124836087226,0.7642815471659139,0.3980444602231912,0.1511117832802006,72,128003
0,dropout 0.0,0.0966502502560615,0.767397409718459,0.4013258321786921,0.1550445038962489,72,128003
0,dropout 0.5,0.095848225057125,0.7678986085030179,0.4032402443422958,0.1556202512283729,72,128003
0,standardize,0.0897912308573722,0.7692098675787405,0.4093977295054243,0.1837867016531679,72,128003
0,decay 1e-3,0.096324399113655,0.7663175239324499,0.4015491341198624,0.1536945654333733,72,128003
0,decay 1e-5,0.0962519198656082,0.7663035868399318,0.4015205310660217,0.1536377285563476,72,128003
1,base,0.1301266551017761,0.735217847904744,0.4199634572433274,0.1596383707370592,48,58072
1,lr 5e-5,0.1374521404504776,0.7428095433544067,0.4346466293322648,0.1376450684763649,48,58072
1,lr 1e-4,0.1339251548051834,0.7444663950840174,0.435338492090293,0.1563849878313156,48,58072
1,lr 5e-4,0.1325664073228836,0.710464033007464,0.3799529545786546,0.1049677881984262,48,58072
1,lr 1e-3,0.1336289793252945,0.6958343042702135,0.3539836844269332,0.0979901811903471,48,58072
1,bce,0.1238630190491676,0.7361020595013931,0.4200769404143089,0.1690200186734098,48,58072
1,hidden 64,0.1316002160310745,0.7442251598062425,0.4364728772618994,0.1597951533188338,48,58072
1,hidden 128,0.1313319057226181,0.7422043221297623,0.4320642948471592,0.1623506430147262,48,58072
1,hidden 512,0.1282302588224411,0.7239713164751248,0.4020358136938842,0.1566558910675859,48,58072
1,dropout 0.0,0.1305100321769714,0.7338754451379312,0.417755754177819,0.1589793046369348,48,58072
1,dropout 0.5,0.1291625201702118,0.7364227138817094,0.4219886137902454,0.1602892535141264,48,58072
1,standardize,0.1159715801477432,0.7381108618716997,0.4176048435991766,0.1739989859374737,48,58072
1,decay 1e-3,0.1301364004611969,0.7352165269885308,0.4199191947615408,0.1598440763459572,48,58072
1,decay 1e-5,0.1301266551017761,0.735217847904744,0.4199634572433274,0.1596383707370592,48,58072
2,base,0.1256531476974487,0.7357496209695227,0.3635262951004235,0.235623926674661,42,64301
2,lr 5e-5,0.1349210143089294,0.7245056389164514,0.3546740065115115,0.2229617190175604,42,64301
2,lr 1e-4,0.1294884532690048,0.7501092151975255,0.3818656412666058,0.2531679762190754,42,64301
2,lr 5e-4,0.1207674369215965,0.7257193366200045,0.3429010913380217,0.2217972028594891,42,64301
2,lr 1e-3,0.1204150095582008,0.7085999436781869,0.3173813689297088,0.1928875195169564,42,64301
2,bce,0.1227370724081993,0.7321501716130059,0.3597769160149452,0.2298656945749603,42,64301
2,hidden 64,0.1280300170183181,0.7386214668268252,0.3703815445173356,0.2358202047810842,42,64301
2,hidden 128,0.1263927370309829,0.7478538599461642,0.382336517467624,0.2537994457981611,42,64301
2,hidden 512,0.1223235949873924,0.734576860717967,0.3574621848358628,0.2346334407688008,42,64301
2,dropout 0.0,0.1260207444429397,0.7356786392882785,0.3635913100474988,0.2357046027027519,42,64301
2,dropout 0.5,0.1249390915036201,0.7363634514327264,0.3648466870112112,0.2370401739289621,42,64301
2,standardize,0.1240991055965423,0.7500686269664613,0.3902193689976944,0.2377696250346611,42,64301
2,decay 1e-3,0.1255843788385391,0.7357646969831969,0.3636254060467805,0.2355363758582351,42,64301
2,decay 1e-5,0.1256531476974487,0.7357496209695227,0.3635262951004235,0.235623926674661,42,64301
3,base,0.0880451202392578,0.8046142085752189,0.4333286859088928,0.1569470596686467,63,90398
3,lr 5e-5,0.1146795451641082,0.8029102169449737,0.4090282515404496,0.1369697431375452,63,90398
3,lr 1e-4,0.1025397777557373,0.8088552731822278,0.4202363265990071,0.1473387582372282,63,90398
3,lr 5e-4,0.0854820758104324,0.799981092466352,0.4340511175770862,0.1571301983930895,63,90398
3,lr 1e-3,0.0923783183097839,0.7838661532106933,0.3913592247122322,0.1343636422069654,63,90398
3,bce,0.0926567614078521,0.8051519401289218,0.4149882697312947,0.145972877819291,63,90398
3,hidden 64,0.1034794151782989,0.8104123824229006,0.4222227343966933,0.1531292124252854,63,90398
3,hidden 128,0.0995910093188285,0.8085222933100062,0.4223261296623999,0.1510594656075906,63,90398
3,hidden 512,0.0962807908654213,0.7975177489446366,0.4054835320818483,0.1421745948146276,63,90398
3,dropout 0.0,0.0883439630270004,0.8034484347812043,0.4311675653852555,0.154532840467594,63,90398
3,dropout 0.5,0.0964750051498413,0.8081027534767229,0.4256946497469852,0.1514153073559196,63,90398
3,standardize,0.0785472020506858,0.803439842118802,0.4562675926144609,0.1769766539324916,63,90398
3,decay 1e-3,0.0881043151021003,0.8047616440902791,0.4339155246491042,0.1573993469525813,63,90398
3,decay 1e-5,0.0880451202392578,0.8046142085752189,0.4333286859088928,0.1569470596686467,63,90398
4,base,0.0913349315524101,0.7669066491662251,0.4472012634455233,0.1567809345027443,75,86358
4,lr 5e-5,0.1012562215328216,0.7708900530401661,0.4564097281185618,0.1686082883852062,75,86358
4,lr 1e-4,0.1023295074701309,0.7615432582668401,0.4398753000637456,0.1402140570489522,75,86358
4,lr 5e-4,0.0815363675355911,0.7622857274964846,0.4459024430515014,0.1853513479000392,75,86358
4,lr 1e-3,0.0800098925828933,0.7565242257229088,0.4407485171437861,0.1837593173248939,75,86358
4,bce,0.0847386047244072,0.7685791123575665,0.4512616860346859,0.1618374735639676,75,86358
4,hidden 64,0.1001202017068862,0.7632592152871781,0.4435881302264195,0.139362353227016,75,86358
4,hidden 128,0.0965829417109489,0.765444998279668,0.4455560985851253,0.1459187747814188,75,86358
4,hidden 512,0.0889452844858169,0.7650644215919655,0.4430661890001247,0.1641294270761865,75,86358
4,dropout 0.0,0.0916977599263191,0.7666661963919591,0.4463504049074471,0.157161742587486,75,86358
4,dropout 0.5,0.0904363468289375,0.7679516055495623,0.4491941730706379,0.1572189189734764,75,86358
4,standardize,0.0784116685390472,0.754655277450889,0.4635821585420993,0.1685197931906806,75,86358
4,decay 1e-3,0.0913204178214073,0.7669390047840817,0.4472098448808984,0.1566298589521537,75,86358
4,decay 1e-5,0.0913349315524101,0.7669066491662251,0.4472012634455233,0.1567809345027443,75,86358
