tokens_low,tokens_high,agebs,median_population,municipalities,spearman_within
1,3,567,211.0,15,0.2568032261631645
4,9,849,1948.0,16,0.337973789084584
10,19,999,2644.0,20,0.3521762275103294
20,49,464,3230.5,14,0.43223153855357704
50,10000,79,3560.0,2,0.12705308552995867
