city,coverage,rule,half_width_grades
carmen,0.8148148148148148,marginal,1.316614420062696
escarcega,0.92,marginal,1.316614420062696
garcia,0.8827160493827161,marginal,1.316614420062696
guerrero,0.8181818181818182,marginal,1.316614420062696
hidalgo,0.8450704225352113,marginal,1.316614420062696
igualadelaindependencia,0.8345864661654135,marginal,1.316614420062696
irapuato,0.8644859813084113,marginal,1.316614420062696
ixtapaluca,0.9503239740820735,marginal,1.316614420062696
lapaz,0.8152173913043478,marginal,1.316614420062696
madera,0.8043478260869565,marginal,1.316614420062696
nogales,0.8713450292397661,marginal,1.316614420062696
queretaro,0.9124513618677043,marginal,1.316614420062696
victoria,0.8545454545454545,marginal,1.316614420062696
zapopan,0.9223880597014925,marginal,1.316614420062696
carmen,0.9074074074074074,clustered,1.665986523319201
escarcega,1.0,clustered,1.665986523319201
garcia,0.9691358024691358,clustered,1.665986523319201
guerrero,0.9545454545454546,clustered,1.665986523319201
hidalgo,0.9154929577464789,clustered,1.665986523319201
igualadelaindependencia,0.9172932330827067,clustered,1.665986523319201
irapuato,0.9345794392523364,clustered,1.665986523319201
ixtapaluca,0.978401727861771,clustered,1.665986523319201
lapaz,0.8768115942028986,clustered,1.665986523319201
madera,0.8478260869565217,clustered,1.665986523319201
nogales,0.935672514619883,clustered,1.665986523319201
queretaro,0.9591439688715954,clustered,1.665986523319201
victoria,0.9333333333333333,clustered,1.665986523319201
zapopan,0.982089552238806,clustered,1.665986523319201
