country,method,seed,bags,within,within_ci_low,within_ci_high,municipalities_scored,pooled,auroc_top_quartile,tokens_scored
colombia,zero-shot,0,573,0.3494450667798965,0.3494450667798965,0.3494450667798965,1,0.3494450667798965,0.7048426817499247,12687
colombia,aggregates,0,573,0.1950650618894389,0.1950650618894389,0.1950650618894389,1,0.1950650618894389,0.6240429429674251,12687
colombia,aggregates,1,573,0.19385620269756157,0.19385620269756157,0.19385620269756157,1,0.19385620269756157,0.6240672383731691,12687
colombia,aggregates,2,573,0.1957337963777605,0.1957337963777605,0.1957337963777605,1,0.1957337963777605,0.6310779028519926,12687
colombia,aggregates@50,0,573,0.16911992639519327,0.16911992639519327,0.16911992639519327,1,0.16911992639519327,0.6323742643374701,12687
colombia,aggregates@50,1,573,0.030266928102037467,0.030266928102037467,0.030266928102037467,1,0.030266928102037467,0.5444110984764529,12687
colombia,aggregates@50,2,573,0.23581355582237473,0.23581355582237473,0.23581355582237473,1,0.23581355582237473,0.6612043761471268,12687
colombia,aggregates@100,0,573,0.18196646048739956,0.18196646048739956,0.18196646048739956,1,0.18196646048739956,0.6338489535775012,12687
colombia,aggregates@100,1,573,0.07799184463722203,0.07799184463722203,0.07799184463722203,1,0.07799184463722203,0.5663396525997838,12687
colombia,aggregates@100,2,573,0.25831129790328367,0.25831129790328367,0.25831129790328367,1,0.25831129790328367,0.6715829257962282,12687
colombia,aggregates@200,0,573,0.21474725861318414,0.21474725861318414,0.21474725861318414,1,0.21474725861318414,0.6408511879694178,12687
colombia,aggregates@200,1,573,0.20653056230760622,0.20653056230760622,0.20653056230760622,1,0.20653056230760622,0.6537076726514524,12687
colombia,aggregates@200,2,573,0.3162496332609922,0.3162496332609922,0.3162496332609922,1,0.3162496332609922,0.6918081572976722,12687
colombia,aggregates@400,0,573,0.18463439690279682,0.18463439690279682,0.18463439690279682,1,0.18463439690279682,0.6263192496950376,12687
colombia,aggregates@400,1,573,0.16512477073260332,0.16512477073260332,0.16512477073260332,1,0.16512477073260332,0.6119282273920124,12687
colombia,aggregates@400,2,573,0.29158111674180803,0.29158111674180803,0.29158111674180803,1,0.29158111674180803,0.6793872227424267,12687
colombia,mexico-init,0,573,0.2996090354522881,0.2996090354522881,0.2996090354522881,1,0.2996090354522881,0.6857147883778528,12687
colombia,mexico-init,1,573,0.3615092164688612,0.3615092164688612,0.3615092164688612,1,0.3615092164688612,0.7195168057447743,12687
colombia,mexico-init,2,573,0.35351235620641586,0.35351235620641586,0.35351235620641586,1,0.35351235620641586,0.709297288899759,12687
colombia,oracle,0,573,0.7391009847514265,0.7391009847514265,0.7391009847514265,1,0.7391009847514265,0.8989165688959848,12687
colombia,oracle,1,573,0.7414120173158683,0.7414120173158683,0.7414120173158683,1,0.7414120173158683,0.8957646327066114,12687
colombia,oracle,2,573,0.7200907211994947,0.7200907211994947,0.7200907211994947,1,0.7200907211994947,0.8903510246299389,12687
brazil,zero-shot,0,1351,0.06831015081530425,0.05878940364911432,0.07882263277461829,1347,0.24480054650517186,0.629084388633043,1187439
